period_end,eps_diluted,uom,fy_eps,fp_eps,filed_eps,form_eps,revenue,fy_rev,fp_rev,filed_rev,form_rev,value_ni,fy_ni,fp_ni,filed_ni,form_ni,operating_cf,fy_ocf,fp_ocf,filed_ocf,form_ocf,symbol
2024-03-31,,,,,,,,,,,,,,,,,19246000000,2025,Q1,2025-05-01,10-Q,META
2024-06-30,,,,,,,,,,,,,,,,,38616000000,2024,Q2,2024-08-01,10-Q,META
2024-06-30,,,,,,,,,,,,,,,,,38616000000,2025,Q2,2025-07-31,10-Q,META
2024-09-30,,,,,,,40589000000.0,2025.0,Q3,2025-10-30,10-Q,15688000000.0,2025.0,Q3,2025-10-30,10-Q,63340000000,2024,Q3,2024-10-31,10-Q,META
2024-09-30,,,,,,,40589000000.0,2025.0,Q3,2025-10-30,10-Q,15688000000.0,2025.0,Q3,2025-10-30,10-Q,63340000000,2025,Q3,2025-10-30,10-Q,META
2024-09-30,,,,,,,40589000000.0,2025.0,Q3,2025-10-30,10-Q,15688000000.0,2024.0,Q3,2024-10-31,10-Q,63340000000,2024,Q3,2024-10-31,10-Q,META
2024-09-30,,,,,,,40589000000.0,2025.0,Q3,2025-10-30,10-Q,15688000000.0,2024.0,Q3,2024-10-31,10-Q,63340000000,2025,Q3,2025-10-30,10-Q,META
2024-09-30,,,,,,,40589000000.0,2025.0,Q3,2025-10-30,10-Q,41522000000.0,2025.0,Q3,2025-10-30,10-Q,63340000000,2024,Q3,2024-10-31,10-Q,META
2024-09-30,,,,,,,40589000000.0,2025.0,Q3,2025-10-30,10-Q,41522000000.0,2025.0,Q3,2025-10-30,10-Q,63340000000,2025,Q3,2025-10-30,10-Q,META
2024-09-30,,,,,,,40589000000.0,2024.0,Q3,2024-10-31,10-Q,15688000000.0,2025.0,Q3,2025-10-30,10-Q,63340000000,2025,Q3,2025-10-30,10-Q,META
2024-09-30,,,,,,,40589000000.0,2024.0,Q3,2024-10-31,10-Q,15688000000.0,2024.0,Q3,2024-10-31,10-Q,63340000000,2024,Q3,2024-10-31,10-Q,META
2024-09-30,,,,,,,40589000000.0,2024.0,Q3,2024-10-31,10-Q,15688000000.0,2025.0,Q3,2025-10-30,10-Q,63340000000,2024,Q3,2024-10-31,10-Q,META
2024-09-30,,,,,,,40589000000.0,2024.0,Q3,2024-10-31,10-Q,41522000000.0,2025.0,Q3,2025-10-30,10-Q,63340000000,2024,Q3,2024-10-31,10-Q,META
2024-09-30,,,,,,,40589000000.0,2024.0,Q3,2024-10-31,10-Q,15688000000.0,2024.0,Q3,2024-10-31,10-Q,63340000000,2025,Q3,2025-10-30,10-Q,META
2024-09-30,,,,,,,116116000000.0,2025.0,Q3,2025-10-30,10-Q,41522000000.0,2025.0,Q3,2025-10-30,10-Q,63340000000,2024,Q3,2024-10-31,10-Q,META
2024-09-30,,,,,,,116116000000.0,2025.0,Q3,2025-10-30,10-Q,15688000000.0,2024.0,Q3,2024-10-31,10-Q,63340000000,2025,Q3,2025-10-30,10-Q,META
2024-09-30,,,,,,,116116000000.0,2025.0,Q3,2025-10-30,10-Q,15688000000.0,2024.0,Q3,2024-10-31,10-Q,63340000000,2024,Q3,2024-10-31,10-Q,META
2024-09-30,,,,,,,116116000000.0,2025.0,Q3,2025-10-30,10-Q,41522000000.0,2025.0,Q3,2025-10-30,10-Q,63340000000,2025,Q3,2025-10-30,10-Q,META
