name_en,name_cn,symbol,market,start_date,end_date,start_close,end_close,abs_change,pct_change,best_close,best_close_date,end_pe,end_close_percentile,pe_percentile_5y,ps_percentile_5y,peg_ratio,fcf_yield,entry_conditions_met,entry_recommendation,refresh_interval_days,next_refresh_date,current_ps,forward_pe,pe_coverage_years,ps_coverage_years,score_hist_valuation,score_abs_valuation,score_peer_valuation,score_peg,score_growth_quality,score_balance_sheet,score_shareholder_return,score_support,score_sentiment,value_score,value_score_tier,entry_reason,tier_reason,name
Microsoft,微软,MSFT,US,2023-11-14,2025-11-12,370.27,511.14,140.87,38.04521025197829,542.07,2025-10-28,36.35419630156473,0.9617224880382775,0.10416666666666667,0.9041916167664671,,0.020536271450577848,1,暂不建议入场,21,2025-12-03,12.988479844254147,34.18997,0.38095238095238093,0.0,7.0,0.0,5.0,0.0,0.0,7.0,10.0,5.0,0.0,34.0,观望,暂不建议入场,观望: 估值7.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产7.0+回报10.0+支撑5.0+情绪0.0,Microsoft（微软）
Apple,苹果,AAPL,US,2023-11-14,2025-11-12,187.44,273.47,86.03000000000003,45.89735381988905,275.25,2025-11-11,36.6091030789826,0.9992025518341308,0.9166666666666666,0.998003992015968,,0.024441897149029407,0,暂不建议入场,21,2025-12-03,9.767256310009829,32.908543,0.38095238095238093,0.0,0.0,0.0,5.0,0.0,0.0,4.0,10.0,0.0,0.0,19.0,观望,暂不建议入场,观望: 估值0.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产4.0+回报10.0+支撑0.0+情绪0.0,Apple（苹果）
Meta Platforms,Meta 平台,META,US,2023-11-14,2025-11-12,336.31,609.01,272.7,81.08590288721715,790.0,2025-08-12,26.899734982332156,0.8548644338118022,0.28125,0.6367265469061876,,0.029211872847037464,1,暂不建议入场,21,2025-12-03,8.26770042806547,24.071543,0.38095238095238093,0.0,7.0,0.0,10.0,0.0,0.0,7.0,10.0,10.0,0.0,44.0,合理区,暂不建议入场,观望: 估值7.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产7.0+回报10.0+支撑10.0+情绪0.0,Meta Platforms（Meta 平台）
Amazon,亚马逊,AMZN,US,2023-11-14,2025-11-12,145.8,244.2,98.39999999999998,67.48971193415636,254.0,2025-11-03,34.49152542372881,0.9944178628389154,0.5833333333333334,0.9860279441117764,,0.004045123479184705,0,暂不建议入场,21,2025-12-03,3.830802945047951,39.707317,0.38095238095238093,0.0,1.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,观望,暂不建议入场,观望: 估值1.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产4.0+回报0.0+支撑0.0+情绪0.0,Amazon（亚马逊）
Alphabet,谷歌,GOOGL,US,2023-11-14,2025-11-12,133.62,286.71,153.08999999999997,114.57117198024245,291.31,2025-11-11,28.27514792899408,0.9984051036682615,0.9791666666666666,0.9960079840319361,,0.021235570520021455,0,暂不建议入场,21,2025-12-03,9.07634471057936,31.998882,0.38095238095238093,0.0,0.0,0.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,25.0,观望,暂不建议入场,观望: 估值0.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报10.0+支撑0.0+情绪0.0,Alphabet（谷歌）
Nvidia,英伟达,NVDA,US,2023-11-14,2025-11-12,49.65599822998047,193.8000030517578,144.14400482177734,290.285181971729,207.0399932861328,2025-10-29,55.21367608312188,0.9936204146730463,0.8759124087591241,0.9840319361277445,,0.015264127040794266,0,暂不建议入场,21,2025-12-03,28.77593043654882,47.038837,0.5436507936507936,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,20.0,观望,暂不建议入场,观望: 估值0.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报10.0+支撑0.0+情绪0.0,Nvidia（英伟达）
Adobe,奥多比,ADBE,US,2023-11-14,2025-11-12,604.3300170898438,337.04998779296875,-267.280029296875,-44.227495199388606,634.760009765625,2024-02-02,20.999999239437308,0.06778309409888357,0.09565217391304348,0.023952095808383235,,0.06803500983845884,3,可评估入场,1,2025-11-13,6.164927950658675,16.40146,0.45634920634920634,0.0,10.0,10.0,10.0,0.0,0.0,7.0,7.0,5.0,0.0,49.0,合理区,可评估入场,观望: 估值10.0+绝对10.0+同行0.0+PEG0.0+增长0.0+资产7.0+回报7.0+支撑5.0+情绪0.0,Adobe（奥多比）
Salesforce,赛富时,CRM,US,2023-11-14,2025-11-12,221.17999267578125,246.02000427246094,24.840011596679688,11.230677465972997,367.8699951171875,2024-12-04,35.75872155122978,0.5669856459330144,0.29927007299270075,0.16367265469061876,,0.053357859573883275,3,可评估入场,12,2025-11-24,5.991373705384725,22.104223,0.5436507936507936,0.0,7.0,7.0,10.0,0.0,0.0,10.0,10.0,5.0,0.0,49.0,合理区,可评估入场,观望: 估值7.0+绝对7.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报10.0+支撑5.0+情绪0.0,Salesforce（赛富时）
ServiceNow,ServiceNow,NOW,US,2023-11-14,2025-11-12,654.1699829101562,864.0399780273438,209.8699951171875,32.081874833748074,1170.3900146484375,2025-01-28,104.47883652083964,0.7974481658692185,0.041666666666666664,0.4930139720558882,,0.02135470421997166,1,暂不建议入场,21,2025-12-03,14.324496359496502,51.73892,0.38095238095238093,0.0,10.0,0.0,0.0,0.0,0.0,10.0,7.0,10.0,0.0,37.0,观望,暂不建议入场,观望: 估值10.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报7.0+支撑10.0+情绪0.0,ServiceNow（ServiceNow）
Broadcom,博通,AVGO,US,2023-11-14,2025-11-12,97.2959976196289,355.2200012207031,257.9240036010742,265.09210030345537,385.9800109863281,2025-10-29,90.61734725017936,0.9880382775119617,0.5766423357664233,0.9700598802395209,,0.014861591291952359,0,暂不建议入场,21,2025-12-03,28.808350397700785,57.572124,0.5436507936507936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,16.0,观望,暂不建议入场,观望: 估值1.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产0.0+回报10.0+支撑5.0+情绪0.0,Broadcom（博通）
