symbol（股票代码）,date（财年/报告期）,revenueLow（营收下限）,revenueHigh（营收上限）,revenueAvg（营收均值）,ebitdaLow（EBITDA下限）,ebitdaHigh（EBITDA上限）,ebitdaAvg（EBITDA均值）,ebitLow（EBIT下限）,ebitHigh（EBIT上限）,ebitAvg（EBIT均值）,netIncomeLow（净利润下限）,netIncomeHigh（净利润上限）,netIncomeAvg（净利润均值）,sgaExpenseLow（销售与管理费用下限）,sgaExpenseHigh（销售与管理费用上限）,sgaExpenseAvg（销售与管理费用均值）,epsAvg（每股收益均值）,epsHigh（每股收益上限）,epsLow（每股收益下限）,numAnalystsRevenue（营收预测分析师数）,numAnalystsEps（EPS预测分析师数）,name（公司名称）
MSFT,2021-06-30,161364956305,172142153167,166227084187,50498007229,75747010844,63122509037,40296133687,60444200532,50370167110,34327193858,51490790789,42908992324.0,16761982512,25142973768,20952478141,7.76866,8.12803,7.47326,16,19,Microsoft Corporation
MSFT,2022-06-30,192892613749,205775470840,198704709367,67405688697,101108533045,84257110871,55855836625,83783754938,69819795782,50563212040,75844818061,63204015051.0,18675061359,28012592039,23343826699,9.27199,9.70091,8.91942,21,15,Microsoft Corporation
MSFT,2023-06-30,211217204553,224362209069,218310000000,110649777016,117536014440,114365460292,92906986509,98689009615,96026856655,74097813959,80153720560,77096000000.0,28748894241,30538068307,29714298677,10.36376,10.73727,9.92603,16,14,Microsoft Corporation
MSFT,2024-06-30,242962988180,245458050830,244926973238,88676476782,133014715175,110845595979,73761771960,110642657944,92202214952,72409599999,108614400000,90512000000.0,24549444388,36824166585,30686805487,11.83163,12.14325,11.77132,32,30,Microsoft Corporation
MSFT,2025-06-30,277927281803,281212832748,279211174019,145597002021,147318194573,146269591111,122250392791,123695590582,122815131621,98330473013,102162481463,100246477238.0,37828840923,38276039137,38003592225,13.4186,13.68553,13.1722,31,34,Microsoft Corporation
AAPL,2021-09-28,357792137980,380513180529,366419852406,85099128888,127648693332,106373911110,76221262221,114331893331,95276577776,65425795554,98138693331,81782244443.0,14849137776,22273706665,18561422221,5.60786,5.88826,5.4362,12,11,Apple Inc.
AAPL,2022-09-28,383528516259,407883908152,392776831583,100742070266,151113105399,125927587833,90542752075,135814128114,113178440095,76226527763,114339791647,95283159705.0,18531655449,27797483175,23164569312,6.09835,6.40327,5.91168,10,16,Apple Inc.
AAPL,2023-09-27,380864385245,382381614755,381623000000,110816277291,166224415938,138520346615,99597027281,149395540924,124496284103,80311199998,120466800001,100389000000.0,20384820993,30577231491,25481026242,6.45457,6.8906,6.02423,12,14,Apple Inc.
AAPL,2024-09-27,389950945023,392209907768,390480701773,132109316639,132874618092,132288789989,120688708606,121387851152,120852666814,92114285030,103094722295,97294000000.0,25098201525,25243593921,25132297972,6.70821,6.87083,6.13903,25,26,Apple Inc.
AAPL,2025-09-27,408476748243,417924195930,415406882375,138385570704,141586219077,140733392388,126422392022,129346350216,128567248829,108357469721,111513557688,109935513704.5,26290567766,26898628726,26736608237,7.38183,7.43191,7.22157,25,27,Apple Inc.
GOOGL,2020-12-31,174947208573,181344295878,177785668701,36199309683,54298964526,45249137105,24208375544,36312563316,30260469430,23401409380,35102114072,29251761726.0,17790419858,26685629787,22238024823,2.6168,2.68489,2.56249,18,18,Alphabet Inc.
GOOGL,2021-12-31,249147657584,258257944798,253189995257,64461779570,96692669355,80577224463,48990664306,73485996460,61238330383,47335069755,71002604636,59168837196.0,22821906759,34232860140,28527383450,5.42868,5.56994,5.31601,18,25,Alphabet Inc.
GOOGL,2022-12-31,278552166517,285920346254,282140117275,78387338355,117581007534,97984172945,64812498549,97218747826,81015623188,56411506308,84617259463,70514382886.0,31573740728,47360611093,39467175911,4.71713,4.79929,4.63915,29,19,Alphabet Inc.
GOOGL,2023-12-31,304903702067,307642573868,306237100181,86226072190,129339108285,107782590238,71293748403,106940622607,89117185505,70125599999,105188400000,87657000000.0,34731114799,52096672201,43413893500,5.74475,5.88414,5.57549,29,32,Alphabet Inc.
